load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,211.1562,213.1555,o,1,0.9989,,213.1556,213.1558,,0,213.1558,213.1563,,213.1563,213.1564,,0,93,93,93,1,cvmt/test_items/t94.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,213.1568,215.1561,n,0,0.9097,,215.1562,215.1565,,0,215.1565,215.157,,215.1571,215.1571,,0,94,94,94,1,cvmt/test_items/t95.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,215.1575,217.1563,n,0,0.7247,,217.1564,217.1567,,0,217.1567,217.1573,,217.1573,217.1574,,0,95,95,95,1,cvmt/test_items/t96.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,217.1578,219.1562,o,1,0.7432,,219.1562,219.1565,,0,219.1565,219.157,,219.157,219.1571,,0,96,96,96,1,cvmt/test_items/t97.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,219.1574,221.1561,n,1,0.7488,,221.1562,221.1566,,0,221.1567,221.1571,,221.1572,221.1573,,0,97,97,97,1,cvmt/test_items/t98.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,221.1576,223.1561,o,1,0.6992,,223.1562,223.1565,,0,223.1565,223.1571,,223.1571,223.1572,,0,98,98,98,1,cvmt/test_items/t99.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,223.1576,225.1553,o,1,0.657,,225.1554,225.1556,,0,225.1556,225.1562,,225.1562,225.1562,,0,99,99,99,1,cvmt/test_items/t100.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,225.1565,227.1558,n,0,0.7998,,227.1558,227.1559,,0,227.156,227.1562,,227.1562,227.1562,,0,100,100,100,1,cvmt/test_items/t101.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,227.1564,229.1561,o,1,0.6701,,229.1562,229.1565,,0,229.1566,229.1572,,229.1573,229.1574,,0,101,101,101,1,cvmt/test_items/t102.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,229.1578,231.1563,n,0,1.4973,,231.1563,231.1567,,0,231.1567,231.1573,,231.1573,231.1574,,0,102,102,102,1,cvmt/test_items/t103.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
